start model 0
C:\Users\dozen\AppData\Local\Programs\Python\Python38\lib\site-packages\torch\autograd\__init__.py:130: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  ..\c10\cuda\CUDAFunctions.cpp:100.)
  Variable._execution_engine.run_backward(
43 Average Val Loss: 0.0360, Val Accuracy: 4160/4200 (99.048%)
44 Average Val Loss: 0.0357, Val Accuracy: 4159/4200 (99.024%)
45 Average Val Loss: 0.0357, Val Accuracy: 4160/4200 (99.048%)
46 Average Val Loss: 0.0352, Val Accuracy: 4159/4200 (99.024%)
47 Average Val Loss: 0.0356, Val Accuracy: 4161/4200 (99.071%)
48 Average Val Loss: 0.0355, Val Accuracy: 4159/4200 (99.024%)
49 Average Val Loss: 0.0356, Val Accuracy: 4160/4200 (99.048%)
50 Average Val Loss: 0.0355, Val Accuracy: 4160/4200 (99.048%)
51 Average Val Loss: 0.0351, Val Accuracy: 4160/4200 (99.048%)
52 Average Val Loss: 0.0353, Val Accuracy: 4160/4200 (99.048%)
53 Average Val Loss: 0.0353, Val Accuracy: 4160/4200 (99.048%)
54 Average Val Loss: 0.0361, Val Accuracy: 4160/4200 (99.048%)
55 Average Val Loss: 0.0354, Val Accuracy: 4160/4200 (99.048%)
56 Average Val Loss: 0.0355, Val Accuracy: 4159/4200 (99.024%)
57 Average Val Loss: 0.0356, Val Accuracy: 4160/4200 (99.048%)
58 Average Val Loss: 0.0356, Val Accuracy: 4161/4200 (99.071%)
59 Average Val Loss: 0.0358, Val Accuracy: 4160/4200 (99.048%)
60 Average Val Loss: 0.0355, Val Accuracy: 4161/4200 (99.071%)
61 Average Val Loss: 0.0350, Val Accuracy: 4161/4200 (99.071%)
62 Average Val Loss: 0.0355, Val Accuracy: 4159/4200 (99.024%)
63 Average Val Loss: 0.0355, Val Accuracy: 4161/4200 (99.071%)
64 Average Val Loss: 0.0356, Val Accuracy: 4160/4200 (99.048%)
65 Average Val Loss: 0.0352, Val Accuracy: 4161/4200 (99.071%)
66 Average Val Loss: 0.0354, Val Accuracy: 4160/4200 (99.048%)
67 Average Val Loss: 0.0352, Val Accuracy: 4160/4200 (99.048%)
68 Average Val Loss: 0.0354, Val Accuracy: 4161/4200 (99.071%)
69 Average Val Loss: 0.0353, Val Accuracy: 4161/4200 (99.071%)
70 Average Val Loss: 0.0355, Val Accuracy: 4162/4200 (99.095%)
71 Average Val Loss: 0.0354, Val Accuracy: 4161/4200 (99.071%)
72 Average Val Loss: 0.0355, Val Accuracy: 4160/4200 (99.048%)
73 Average Val Loss: 0.0357, Val Accuracy: 4161/4200 (99.071%)
74 Average Val Loss: 0.0358, Val Accuracy: 4160/4200 (99.048%)
75 Average Val Loss: 0.0353, Val Accuracy: 4162/4200 (99.095%)
76 Average Val Loss: 0.0356, Val Accuracy: 4158/4200 (99.000%)
77 Average Val Loss: 0.0353, Val Accuracy: 4161/4200 (99.071%)
78 Average Val Loss: 0.0356, Val Accuracy: 4160/4200 (99.048%)
79 Average Val Loss: 0.0354, Val Accuracy: 4159/4200 (99.024%)
80 Average Val Loss: 0.0360, Val Accuracy: 4160/4200 (99.048%)
81 Average Val Loss: 0.0356, Val Accuracy: 4162/4200 (99.095%)
82 Average Val Loss: 0.0358, Val Accuracy: 4161/4200 (99.071%)
83 Average Val Loss: 0.0353, Val Accuracy: 4160/4200 (99.048%)
84 Average Val Loss: 0.0355, Val Accuracy: 4161/4200 (99.071%)
85 Average Val Loss: 0.0357, Val Accuracy: 4162/4200 (99.095%)
86 Average Val Loss: 0.0354, Val Accuracy: 4160/4200 (99.048%)
87 Average Val Loss: 0.0360, Val Accuracy: 4159/4200 (99.024%)
88 Average Val Loss: 0.0353, Val Accuracy: 4161/4200 (99.071%)
89 Average Val Loss: 0.0356, Val Accuracy: 4160/4200 (99.048%)
90 Average Val Loss: 0.0352, Val Accuracy: 4159/4200 (99.024%)
91 Average Val Loss: 0.0356, Val Accuracy: 4159/4200 (99.024%)
92 Average Val Loss: 0.0355, Val Accuracy: 4162/4200 (99.095%)
93 Average Val Loss: 0.0355, Val Accuracy: 4160/4200 (99.048%)
94 Average Val Loss: 0.0357, Val Accuracy: 4160/4200 (99.048%)
95 Average Val Loss: 0.0356, Val Accuracy: 4160/4200 (99.048%)
96 Average Val Loss: 0.0354, Val Accuracy: 4162/4200 (99.095%)
97 Average Val Loss: 0.0355, Val Accuracy: 4161/4200 (99.071%)
98 Average Val Loss: 0.0358, Val Accuracy: 4160/4200 (99.048%)
